mot,score
dissioparurnes,8.389126994174458
pennererope,9.143701097410611
sourronstatidee,9.981053711682437
doul,9.989658781273864
sousodeutargue,10.363095957462882
runtronsougisa,10.411874150337642
acuidiassong,10.635147264031232
taisosoutare,10.64409393736906
plareracirtime,10.653177213557473
viaripogies,10.687599479938855
balertorpaieut,10.808292422300127
toutscouide,10.926364466323125
hasilotirrets,10.961597105199562
aradmola,11.135607202216834
sardiaselursis,11.151347024372058
dinflaibacie,11.338887949629147
annalteigliremis,11.377767741051088
siotecubilarai,11.502115464678178
phoattattats,11.514488427027166
pyerge,11.639903536806996
pifortroutnai,11.864571049085693
fraffraciacloc,11.893184429973347
caitomemirous,11.928192973439876
stainuabinsse,11.954771164043999
poisiperiese,11.973471298998694
oeinelliumoua,11.993024582537725
saisomytia,12.035234308294756
badaosoulerber,12.038636804134542
soutritrirube,12.073418348576768
dizoosechagnit,12.09919144265334
faxernoriateut,12.180210011887253
bulainopiarif,12.19819074590837
sonsobtulubure,12.252278228770074
tarialmoeunt,12.277460101445794
keerapplennie,12.337635630791441
vidortrouetia,12.34592307980575
lansouludesbre,12.45182730448333
elareraciralie,12.522437410409061
tattammullaki,12.53276906322162
daporsard,12.54084507833823
fomir,12.620675352201493
trusionitriu,12.700985301108329
talsosoularce,12.825614601570894
ruensoagotatte,12.840229301178068
toukosoudurers,13.042668872973508
ilateursiaini,13.05421772245741
balatgopisteuts,13.093838680539854
amethabolif,13.126313243897888
etatenrode,13.1635577944422
atiniscoliket,13.174489664796905
taossoulcrues,13.264926375106613
fatiammensmems,13.273728457108962
alpirettilh,13.280031581615052
diflokerrocum,13.336776253510857
sicoodroursaus,13.352424865023941
cepasireda,13.367722687416967
tarialenelut,13.367953121698216
taciammolseais,13.40251732451577
froatomitattlez,13.422923162746184
dictammorlau,13.446996566474757
tahiambollamet,13.490735650138676
craverebealce,13.524748634793646
croverebialsa,13.533372779710888
troaloinaibil,13.558536284687051
tomaoboularcut,13.614999551608296
hucuritoiraths,13.634957734905973
piforirouiteas,13.702011911149008
ciateberiaisa,13.737771641049378
glotouaciaisag,13.87349177969565
farmiafammacez,13.873885869257467
tabiamaillepo,13.90610498733498
sirarisratuai,14.015748145527267
fereposaoreane,14.027302501428588
aegirailienel,14.168065842742065
klaudrasiossi,14.266239660118842
vitorigruetias,14.289184919607079
lakiampollaye,14.291423907738782
souelieltiarle,14.324980490950686
ralouseriedemn,14.374004762913174
stesuanaieiris,14.40570478672173
tatiammoinsmun,14.45419694358609
marialweilareu,14.476810372750867
kapiainsel,14.554618383896129
otiablapierau,14.658578276887667
tansosouiarouse,14.695497457090234
rirarytharifor,14.723703695916592
derehosaccrac,14.752647052988955
omolouads,14.796032114449567
bateilopoaitat,14.851749344437703
elfoutrovets,14.867781339952675
shurloaitatai,14.911817652631001
vaccrooiden,14.92902722647978
bacuttortartoti,14.95638052290241
touaosoulepors,14.982033059647973
lisiampoinalp,14.983701296370644
dagarnornarteta,15.002748106077549
togasbouiorpes,15.157936085627433
bootreutinitia,15.203897645318767
gacailorbarteek,15.210651130974059
aneuaiturluria,15.233746945596456
zansosoutercet,15.257052453947143
siboatisuptias,15.271910241103308
stistoprirebeuck,15.294923040121096
bioullottoual,15.298253286675186
oeinsolecioces,15.299455523317695
aiserpulmuseugi,15.309141712833583
ranainaphadrutu,15.314697294430747
iromemetilisi,15.322481347672747
tuntimemaurs,15.421265988155282
aulaindeperef,15.429250834978003
biardiacouget,15.448260254072476
slaufrabietit,15.464393594648579
dipaloteininou,15.485952969881097
sortsistareas,15.490603504410064
gloisecoorya,15.494538058337634
anebligurlere,15.563548796148414
opadaitureirla,15.60484708818416
aboletiomom,15.623799973780189
toloosoudorsuyan,15.638569204578367
atinupporareti,15.709304385868267
lousovouierbut,15.725467834362755
senatopraimial,15.729265270116413
arauncaciercet,15.751663003055661
anciviabsiank,15.778835517495407
senazonrinteric,15.820686463096553
rallinibosialu,15.851907721388613
tartaloilapo,15.890670416716489
jaholiliaorts,15.90293542121804
orodiaieska,15.903863647364222
farsiopaourmel,15.905102329708459
malizouraw,15.917783712226532
waitomomirouff,15.944368555272996
zouisap,15.962986428399832
diturgafriaii,16.014683543468024
malsousumpacuts,16.01595039272225
kalurigoghais,16.01692683192736
doitoucchirds,16.03051537444921
lacoallukunt,16.055262012973888
rifonoterreuno,16.057251407111018
riraryturenele,16.13526759147878
inatoorreauc,16.138185851547288
fruflomotinaly,16.253400666035493
racartofiaibatu,16.26383520342457
caluocigharuis,16.282226204550142
laussulmursey,16.29258424091986
ilainlaciotres,16.294310779664983
naneinoreabse,16.357136789745407
faluiosavrine,16.364559219931994
reftoomessave,16.40182366343246
farpiotarlimid,16.42495774210919
phoalotio,16.42681983422409
sructofiortaie,16.427971210089925
muroeuspittease,16.443223336976555
padorrisuees,16.472293448076275
kaotersaileik,16.47327740747306
daitscoriorus,16.48135180919589
paosiotessaa,16.485511934250976
adeuaitidiumeu,16.56056205778586
phoseyenbal,16.56163511916643
foeroixtaxone,16.588485607743877
bubonoiterri,16.648430921163694
gilaigibubiele,16.65044753432846
clicoorelioden,16.652486439837197
fooliapirof,16.66480455561867
loiaosouderote,16.677556690002792
einfiaibafes,16.690883866273396
laigosououcors,16.698078631553773
pramecerillik,16.709861022546885
talapsouleso,16.741902419196695
jaksailtiffos,16.764759124125266
mahornoigiladu,16.77246937227761
gureunondisuma,16.78110481926461
stictoasirerrik,16.79187756863333
slaidrasioto,16.807673389746316
toutsanarru,16.823668943147283
gussioscruian,16.856002032513114
idinuolenjete,16.881049849493067
sictitauire,16.881468037014823
sacaingoititet,16.900489944284523
aboanansasina,16.936861436185808
balsteopiatte,16.972466347863755
rilliginutiae,16.981920950536242
evoinuaidaispa,16.99049597169791
oilacetoueues,16.99795717335991
senaranpoagerit,17.011257319354975
dagouieharue,17.011724390290073
ratororsaptiss,17.02008675112727
kaccoliriaot,17.02881040633511
fenniviratys,17.03462519934371
dagertofiaubio,17.081726077907895
segolmolfanoras,17.119405429501356
rinorrisuetaum,17.140636762883553
ariorigimeu,17.160462304812505
masuzouirrot,17.17291084119115
viraropinuinorg,17.17471988825676
raltiaigouiama,17.175397297971283
auresnolausombe,17.202248316299436
dnanontideuriki,17.214560481283105
aiershatalesoes,17.249074947986234
toosobouvaroux,17.260541467010135
pecurhoisrata,17.26159082947826
persiatcuidne,17.263401386451566
bairosudacca,17.297479518779348
conuonuchanomo,17.346553451180455
latoannioguse,17.38072426915743
likhamnouppui,17.385144026346396
namsosouielurs,17.39528317596403
cinamaimauc,17.39829282318402
vrarodeaterse,17.42851299539143
litiammoinarr,17.43235631386956
voragoscornoode,17.442217241775957
saloonichonetop,17.445856710738727
camuncyboella,17.48387578642811
olettofusiovel,17.587774932526152
buordiacomuet,17.59108522550898
essonib,17.594364659039012
argiraigoanirad,17.64983576400788
daloiserioruall,17.67079992411159
dacurmipierola,17.740694364887567
zoososoularett,17.765395309952307
sigelaosuarans,17.786877175055047
baisospuloicre,17.78699523391324
fananroiraveutz,17.790368950545624
fabdiotorkm,17.809331298878508
falivaufak,17.81744272636382
enduaibovict,17.879302181039233
mienitt,17.880025589765417
ciodererzailie,17.885012708354978
oalliathuer,17.887630320828507
banushoulirde,17.928545575773107
diezilsalling,17.929690766109605
tausosouirreut,17.978727391853667
tittambollepi,17.99046872789547
busetneroaltu,17.99464184483673
riersipotozeti,18.01988963634793
opsuaiturleyeuc,18.02382782339919
scaocileu,18.028526335839103
tamiaunoptatri,18.085509934619004
kaziralpenourak,18.115018017889675
tatiamnonnsou,18.128702408173123
disphafamuemi,18.15395826410966
diruiosoeuhai,18.17391081714842
dalooferienipo,18.249224745666776
annuaitigeirtua,18.279440245694456
hoparotuirebs,18.27987196279774
gasogobigraks,18.28279577910886
rouataiotatode,18.319305678109224
stcorrrampturs,18.32385673277173
renkailotieu,18.334967600569197
gafloneaierebs,18.336189038749115
banarlorsairapib,18.345011050651685
unnusitiderro,18.370263545982574
ciutirunelsif,18.51356359514099
kieuraoteerinds,18.537229828914153
rusdinibuziale,18.551954476035966
baotsonnurret,18.62028321472496
kiauraigubmerah,18.63072777332346
silirailanrenad,18.687561312281783
aiensiaideeria,18.717091684202
biensusutouem,18.749740834229577
putagoteanuory,18.78069599156279
daloisoniorups,18.79549214345355
fucaitorkattath,18.798507317244493
ritarotrarefe,18.8467698029449
vioueroaiel,18.85062388793357
sauilbinetallar,18.855415523756932
lacialmoesasis,18.86565224880009
maiurieirtatit,18.88958013701744
initouizdah,18.954678621738342
ruerlostuouat,18.968258247185137
viersopskogase,19.000370057716953
baneidodialtuye,19.007087740963126
tanresermecerte,19.0444306502069
kitiraosennoes,19.057006602555656
kaciammeinshe,19.064790111366655
glaillahirckitz,19.091669706080797
stiaroiriareraug,19.094033502692895
pruagosioityles,19.10810278527559
alatordelolueza,19.156073655100425
artrefiasd,19.169222384853374
aierfitieluree,19.182187957264055
litialmoilsaii,19.19246592501178
vlopaureuttue,19.20449310947552
anaroittaiei,19.204723609200034
suetiotreruas,19.2092265253564
dinaidibociag,19.21643313127829
kerillotoaumock,19.222560770630736
aureantupunercei,19.24787613623326
apaorgasufs,19.257283748533887
sitiriiouetial,19.30804656317156
sulousurkoguri,19.33164047553458
broetuatirta,19.334570053728005
ascumiaboian,19.354421955008856
einialbolays,19.357197509810582
serviatunrelf,19.382083260248436
galtonociaruio,19.387537711540094
autaletianufruy,19.414189570500156
taorosoulorro,19.423456686408063
facorooirriash,19.451878103469454
phtiamiosetas,19.49345811826711
dilainpalfre,19.54099784425462
cioteberialsa,19.543295788470473
acerseairlebik,19.547338135006115
anagattueuitl,19.610900306758733
liatsossitus,19.62433154256099
dagmaluopla,19.643917438687495
tiougaaltoyau,19.651876538711782
niforirosedri,19.667871242465075
firdinshourcs,19.67317154604066
toisfiludarax,19.711040596249976
tasialaoumi,19.715801189151307
sinorcroietium,19.72550871638115
siaretigeanirck,19.745603968539335
aloporgeloleest,19.772974607487388
tuonatutiojal,19.775692185427875
lamtaoleriote,19.788536454398088
rineigirubeel,19.817244313831843
rubcutilhouht,19.820057114482715
sifliottarnuo,19.838362416765754
titialooinseas,19.86181326219737
