mot,score
rent,2.6595574481722193
mant,3.023001804053733
cont,3.029136682775327
ents,3.2381843683430627
sant,3.3180255115012653
cant,3.3256735561447495
ables,3.3822882953002056
pent,3.4206243809981394
rant,3.4882016540083036
pant,3.496743134496487
sions,3.5827164323706735
lant,3.627801972648954
bant,3.6341469314871624
dions,3.750098770502875
surait,3.8281666466335107
mait,3.834506355848033
hant,3.8778028911117364
fant,3.881705453386668
ants,3.9299207820599213
vions,3.9498017126345415
rens,4.023148300029412
ints,4.030318138121381
strait,4.042988194749057
trai,4.055934423938047
abler,4.064118628419847
pait,4.07297467651641
siont,4.109705404844827
mint,4.225550814057743
prodes,4.231902037548935
scons,4.2368081791761485
tent,4.240517248942977
grai,4.2463525860493405
proses,4.258422675110089
dant,4.2621827126738
strant,4.26572402760264
fent,4.288810174646917
ront,4.303713932609737
cait,4.321464476524595
mans,4.3579698050519795
ablez,4.4101673917837445
pard,4.4181199826956945
tont,4.427954752003262
parge,4.43244552730248
acons,4.475601644130995
adons,4.50908247750197
atrait,4.542213608030615
amons,4.56494163424112
scrait,4.570303842109981
dait,4.576705102516953
proles,4.598627085523707
strais,4.599568305077584
prones,4.640403435899384
sorait,4.645578168953739
tras,4.677063738403678
plit,4.711232159098424
ablis,4.712481246427781
bont,4.718242299807455
crotes,4.719522248216723
mions,4.722551468270448
cans,4.794302444578047
card,4.7983260358242825
stons,4.839714405862178
prides,4.842725778909425
prodis,4.8482239577167
scont,4.860008823452849
crai,4.878452960008779
solis,4.896860351303246
pint,4.919983885123864
promes,4.926939128077209
proges,4.931302774256556
alons,4.9322008830416895
crodes,4.932298189979455
exis,4.935930541190269
lont,4.938094545184034
alit,4.938769469502086
plai,4.940896032924287
nont,4.958282543194935
croses,4.963208095615111
atons,4.965095338872209
mard,4.971886390658225
straie,4.972802404007909
apons,4.977330213794338
parne,4.988234549301392
procks,4.993019768040889
proces,4.99378426788575
proder,5.013479429130153
cone,5.024347622049445
predes,5.048283427174801
hont,5.053363847355328
gions,5.055591026573056
crides,5.057754676022526
bard,5.072215723668858
abit,5.073832769026853
suyait,5.0749146562421945
sarait,5.087688948674727
bent,5.090064834485043
amins,5.092250520228793
clai,5.097335220162257
propes,5.109517501477093
strai,5.128269473984331
cais,5.132359626047017
pens,5.174424479121343
calion,5.188285534284972
atins,5.189850796314853
proves,5.195278755198099
apit,5.195859664843568
clis,5.200037628479563
gont,5.210184759686726
jurs,5.21193873722001
lans,5.229851809652156
